# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
24200000	5954.63	-26595.6	32550.2	-26595.6	0.26787	0.00260095	0.160891	7.96663	153.462	0.06409	2.57404	0.32128	0.214295	0.190799	0.273626
24400000	176705	-26549.1	203254	-26549.1	0.303848	0.00265433	0.0589588	10.3189	144.17	0.0576809	1.28778	0.31685	0.21102	0.198622	0.273508
24600000	81082.5	-26593.9	107676	-26593.9	0.315754	0.00219299	0.0889246	6.29999	126.741	0.0777249	0.309533	0.323641	0.214496	0.196061	0.265802
24800000	9388.11	-26602.6	35990.7	-26602.6	0.335419	0.00204613	0.153826	7.57494	118.059	0.0883918	-0.809194	0.321364	0.212937	0.198903	0.266796
25000000	24461	-26598.7	51059.7	-26598.7	0.255076	0.00239571	0.133302	16.6524	139.035	0.0778957	8.52949	0.321894	0.214611	0.189915	0.27358
25200000	-45961.7	-26688.9	-19272.8	-26688.9	0.300208	0.00165747	1.11232	9.38423	88.6091	0.146777	5.17647	0.319758	0.208509	0.195993	0.275739
25400000	-44475.6	-26682.9	-17792.7	-26682.9	0.288663	0.00171504	1.76724	9.00025	103.451	0.185335	8.57717	0.320426	0.213367	0.19496	0.271247
25600000	-43995.8	-26667.2	-17328.6	-26667.2	0.285847	0.002747	0.583285	9.70779	131.225	0.0939233	6.50326	0.319432	0.215141	0.196345	0.269083
25800000	-46309.5	-26688.9	-19620.6	-26688.9	0.33819	0.00194199	0.923164	15.4926	84.5009	0.129105	2.48394	0.318388	0.21615	0.199326	0.266137
26000000	-45668.9	-26676.1	-18992.7	-26676.1	0.328814	0.00170776	0.810761	10.4436	127.864	0.0543653	-3.91327	0.315912	0.217367	0.196166	0.270554
26200000	-44626.5	-26674.8	-17951.7	-26674.8	0.304391	0.00244069	1.69754	6.9095	149.84	0.0577646	-0.771293	0.323484	0.214365	0.196747	0.265405
26400000	-45580.9	-26677.6	-18903.3	-26677.6	0.374519	0.00192979	0.875792	4.67963	101.033	0.101082	2.0841	0.322649	0.209993	0.194623	0.272734
26600000	-17498.3	-26614	9115.75	-26614	0.281502	0.00265283	0.223587	8.67077	122.111	0.122868	7.11478	0.317854	0.215102	0.196135	0.270909
